"";"banalfreq";"X.gr_01";"X.gr_02"
"comportamento";26;1,3686;-1,3686
"cuja";12;-0,5591;0,5591
"endereço";12;0,4573;-0,4573
"distribuição";11;-0,5125;0,5125
"mostrar";95;0,5893;-0,5893
"energia";18;0,9869;-0,9869
"eliminar";11;-0,5125;0,5125
"300";11;-0,1611;0,1611
"fechado";19;0,5174;-0,5174
"acompanhar";30;0,7343;-0,7343
"aquilo";23;-0,5147;0,5147
"financeiro";19;-0,8853;0,8853
"poder";415;0,3881;-0,3881
"exposição";16;-0,7455;0,7455
"dinheiro";43;1,5708;-1,5708
"significativo";14;-0,2397;0,2397
"produtor";21;-0,4497;0,4497
"representar";23;-1,0717;1,0717
"malandro";10;-0,137;0,137
"2004";10;-0,4659;0,4659
"manter";42;0,3696;-0,3696
"básico";17;0,2775;-0,2775
"mecanismo";12;-0,5591;0,5591
"geração";19;-0,8853;0,8853
"totalmente";11;1,0303;-1,0303
"operação";32;-0,4501;0,4501
"entender";48;-1,428;1,428
"década";19;-0,8853;0,8853
"luiz";14;1,332;-1,332
"32";12;-0,5591;0,5591
"31";12;0,4573;-0,4573
"30";40;-1,1211;1,1211
"entanto";31;-0,4242;0,4242
"preservação";15;-0,6989;0,6989
"presidente";36;-0,3057;0,3057
"força";26;-0,6154;0,6154
"chamado";41;0,9287;-0,9287
"perceber";33;0,6179;-0,6179
"caminho";27;-0,6497;0,6497
"julgamento";11;0,5087;-0,5087
"valer";32;-1,4911;1,4911
"conferir";15;1,8653;-1,8653
"ideia";55;-0,7539;0,7539
"guariroba";29;-1,3513;1,3513
"falta";35;-0,2863;0,2863
"redução";13;-0,2126;0,2126
"unido";34;-0,2674;0,2674
"paulista";10;-0,4659;0,4659
"tso";12;-0,5591;0,5591
"versão";15;0,3371;-0,3371
"criminal";11;-0,1611;0,1611
"camus";23;-1,0717;1,0717
"dan";14;-0,6523;0,6523
"vencer";16;-0,7455;0,7455
"dar";191;0,9413;-0,9413
"quê";13;-0,2126;0,2126
"atendimento";16;-0,2964;0,2964
"sexual";15;0,3371;-0,3371
"mato";14;-0,2397;0,2397
"que";3508;0,4556;-0,4556
"compra";19;0,5174;-0,5174
"atenção";14;-0,2397;0,2397
"ameaçar";11;-0,1611;0,1611
"próximo";49;-0,3627;0,3627
"transação";17;-0,7921;0,7921
"negro";20;-0,1758;0,1758
"respeitar";11;0,5087;-0,5087
"cabeça";32;-0,2311;0,2311
"atitude";14;-0,2397;0,2397
"mim";31;-0,2138;0,2138
"milhão";52;1,1112;-1,1112
"experiência";24;-0,2574;0,2574
"seguro";23;0,6968;-0,6968
"bunuel";19;-0,8853;0,8853
"controlo";23;-0,2359;0,2359
"normalmente";11;-0,1611;0,1611
"grosso";15;-0,2677;0,2677
"fator";12;-0,1864;0,1864
"agora";67;0,8547;-0,8547
"terça_feira";10;-0,137;0,137
"utilizar";40;-0,6725;0,6725
"manhã";20;1,3376;-1,3376
"ao";449;-1,142;1,142
"produtividade";11;-0,5125;0,5125
"psicopata";28;-1,3047;1,3047
"novela";21;-0,9785;0,9785
"sete";20;-0,1758;0,1758
"resultado";25;-0,2795;0,2795
"antonio";25;-1,1649;1,1649
"executivo";12;-0,5591;0,5591
"noivo";17;-0,7921;0,7921
"reunir";17;-0,7921;0,7921
"teste";12;-0,1864;0,1864
"américa";17;0,6086;-0,6086
"paraíso";11;-0,5125;0,5125
"consumir";10;1,1356;-1,1356
"também";325;1,1936;-1,1936
"desenvolvimento";15;-0,6989;0,6989
"encontro";24;-0,5479;0,5479
"quanto";54;0,7464;-0,7464
"aberto";27;0,2778;-0,2778
"troca";12;-0,1864;0,1864
"espalhar";12;-0,1864;0,1864
"seis";24;-1,1183;1,1183
"povo";11;1,0303;-1,0303
"costumar";14;-0,2397;0,2397
"membro";11;1,0303;-1,0303
"paris";10;-0,4659;0,4659
"casamento";10;-0,4659;0,4659
"casal";41;0,9287;-0,9287
"possuir";21;1,8062;-1,8062
"decidir";35;1,6591;-1,6591
"street";17;-0,7921;0,7921
"enfrentar";21;-0,9785;0,9785
"preparar";20;0,4777;-0,4777
"março";25;-0,2795;0,2795
"lamentar";14;-0,2397;0,2397
"outro";352;-1,1738;1,1738
"gravar";12;0,9382;-0,9382
"musa";15;-0,6989;0,6989
"pouco";73;0,33;-0,33
"me";137;0,2723;-0,2723
"te";17;1,0613;-1,0613
"político";39;0,2438;-0,2438
"atração";11;-0,5125;0,5125
"ambos";12;0,4573;-0,4573
"especializado";10;-0,137;0,137
"quantidade";20;-0,1758;0,1758
"enviar";18;0,5608;-0,5608
"london";12;-0,1864;0,1864
"origem";18;-0,8387;0,8387
"histórico";17;-0,7921;0,7921
"fonte";19;1,4258;-1,4258
"tendência";11;-0,5125;0,5125
"nunca";81;0,5115;-0,5115
"bairro";41;-1,9105;1,9105
"acontecer";110;0,6443;-0,6443
"acima";24;1,0454;-1,0454
"poço";12;-0,5591;0,5591
"movimento";38;-1,7707;1,7707
"bitcoin";30;-1,3979;1,3979
"estrada";24;-0,2574;0,2574
"lançar";19;-0,3867;0,3867
"burger";10;-0,4659;0,4659
"leste";15;-0,6989;0,6989
"crescer";27;0,5334;-0,5334
"bridge";13;-0,2126;0,2126
"uscifrão";31;-0,2138;0,2138
"tributário";17;-0,7921;0,7921
"the";22;-0,2152;0,2152
"companhia";24;1,0454;-1,0454
"escritor";12;-0,5591;0,5591
"bandido";12;-0,5591;0,5591
"manifestação";12;-0,5591;0,5591
"acreditar";47;0,7055;-0,7055
"tratamento";39;0,6973;-0,6973
"alguma";70;1,0194;-1,0194
"renda";10;-0,4659;0,4659
"fóssil";13;-0,6057;0,6057
"pressão";17;0,2775;-0,2775
"resposta";14;0,3724;-0,3724
"conceito";13;-0,2126;0,2126
"esperança";11;0,5087;-0,5087
"fallon";10;-0,4659;0,4659
"proprietário";14;-0,6523;0,6523
"referência";21;-0,9785;0,9785
"antigo";29;0,2387;-0,2387
"afetar";11;1,7069;-1,7069
"dado";35;-0,935;0,935
"lutar";11;-0,1611;0,1611
"necessidade";21;-0,1951;0,1951
"gestão";13;-0,6057;0,6057
"expor";11;-0,5125;0,5125
"ela";324;-0,5735;0,5735
"cultural";18;-0,8387;0,8387
"aprender";27;-1,2581;1,2581
"baleia";11;1,7069;-1,7069
"51";10;0,5677;-0,5677
"50";28;-0,6844;0,6844
"amor";11;0,5087;-0,5087
"clube";17;-0,3259;0,3259
"gostar";32;-0,2311;0,2311
"mão";39;-0,6434;0,6434
"mãe";69;0,7952;-0,7952
"município";29;-1,3513;1,3513
"explicar";52;-0,4205;0,4205
"algo";71;0,7397;-0,7397
"esperar";33;0,3602;-0,3602
"agressão";16;0,3057;-0,3057
"né";11;0,5087;-0,5087
"ajuda";26;-0,3022;0,3022
"lago";18;-0,8387;0,8387
"turista";13;-0,6057;0,6057
"devido";19;1,4258;-1,4258
"plataforma";12;-0,5591;0,5591
"vivo";28;-0,6844;0,6844
"conteúdo";17;-0,7921;0,7921
"mediação";18;-0,8387;0,8387
"aluno";20;-0,1758;0,1758
"junto";30;-0,3988;0,3988
"tio";11;-0,1611;0,1611
"imóvel";26;0,2999;-0,2999
"autismo";11;-0,5125;0,5125
"direção";14;0,3724;-0,3724
"quase";56;0,9531;-0,9531
"guarda";13;0,4122;-0,4122
"cenário";15;-0,6989;0,6989
"posto";15;-0,6989;0,6989
"bahia";10;-0,4659;0,4659
"chorar";11;-0,1611;0,1611
"melhor";75;-1,339;1,339
"leh";10;-0,4659;0,4659
